Results: 	[0.8226]	
Results: 	[0.8226, 0.8235]	
Results: 	[0.8226, 0.8235, 0.8343]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142, 0.8229]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142, 0.8229, 0.8084]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142, 0.8229, 0.8084, 0.8349]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142, 0.8229, 0.8084, 0.8349, 0.8096]	
Results: 	[0.8226, 0.8235, 0.8343, 0.8247, 0.8063, 0.8247, 0.8289, 0.8123, 0.8063, 0.8145, 0.8151, 0.8404, 0.8286, 0.8006, 0.8045, 0.8425, 0.806, 0.8142, 0.8229, 0.8084, 0.8349, 0.8096, 0.8148]	
